id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_22141_CG	0	0.4995	3.60066686852636e-06	Inf	dm
dmr_22142_CG	0.637	0.575	0.133858021548285	1.10782608695652	equal
dmr_22143_CG	0.637	0.575	0.133858021548285	1.10782608695652	equal
dmr_22144_CG	0.166333333333333	0	0.121490021963849	Inf	equal
dmr_22145_CG	0.272333333333333	0.3315	0.112639036172609	1.2172582619339	equal
dmr_22146_CG	0.292666666666667	0.1775	0.33423974995841	1.64882629107981	equal
dmr_22147_CG	0.0156666666666667	0.721	4.07070251783578e-223	46.0212765957447	dm
dmr_22148_CG	0.00766666666666667	0.173	8.49156617152273e-174	22.5652173913043	equal
dmr_22149_CG	0.580333333333333	0.5785	0.657381933828965	1.00316911552867	equal
dmr_2214_CG	0.665666666666667	0.809	0.00148324377435081	1.21532298447672	equal
dmr_2214_CHG	0.0126666666666667	0	5.65598542763293e-47	Inf	equal
dmr_22150_CG	0.00833333333333333	0.0175	3.61378916114106e-29	2.1	equal
dmr_22151_CG	0.9	0.8985	0.127353239855085	1.0016694490818	equal
dmr_22152_CG	0.898333333333333	0.8775	2.04446411077177e-27	1.02374169040836	equal
dmr_22153_CG	0.0556666666666667	0.48	4.28954725603846e-11	8.62275449101796	dm
dmr_22154_CG	0.908333333333333	0.7525	0.000327011192882544	1.20708748615725	equal
dmr_22155_CG	0.908333333333333	0.7525	0.000327011192882544	1.20708748615725	equal
dmr_22156_CG	0.922333333333333	0.8195	0.000930387792816287	1.12548301810047	equal
dmr_22157_CG	0.813666666666667	0.615	3.10431882491041e-72	1.3230352303523	equal
dmr_22158_CG	0.633	0.5175	0.00319695066518191	1.2231884057971	equal
dmr_22159_CG	0.869666666666667	0.8215	0.167420701241624	1.05863258267397	equal
dmr_2215_CG	0.665666666666667	0.809	0.00148324377435081	1.21532298447672	equal
dmr_2215_CHG	0.552333333333333	0.408	0.00913020069577228	1.35375816993464	equal
dmr_22160_CG	0.583333333333333	0.549	0.697209547063747	1.06253794778385	equal
dmr_22161_CG	0.880333333333333	0.945	0.050986514527019	1.0734570238546	equal
dmr_22162_CG	0.633333333333333	0.5485	0.20934045890931	1.15466423579459	equal
dmr_22163_CG	0.054	0.7305	7.94632744638873e-20	13.5277777777778	dm
dmr_22164_CG	0.93	0.9045	0.000566164664245357	1.02819237147595	equal
dmr_22165_CG	0.93	0.9045	0.000566164664245357	1.02819237147595	equal
dmr_22166_CG	0.678	0.702	0.537665427874758	1.0353982300885	equal
dmr_22167_CG	0.861333333333333	0.896	0.342061954042113	1.04024767801858	equal
dmr_22168_CG	0.813333333333333	0.871	0.4991436903913	1.07090163934426	equal
dmr_22169_CG	0.813333333333333	0.871	0.4991436903913	1.07090163934426	equal
dmr_2216_CG	0.665666666666667	0.809	0.00148324377435081	1.21532298447672	equal
dmr_2216_CHG	0	0.2005	0.0112107532375322	Inf	equal
dmr_22170_CG	0.942333333333333	0.6115	1.08409969093134e-21	1.54101935132189	equal
dmr_22171_CG	0.705	0.8965	6.299235975333e-08	1.27163120567376	equal
dmr_22172_CG	0.933	0.5355	9.73904304706705e-15	1.74229691876751	equal
dmr_22173_CG	0.967333333333333	0.809	1.05230708314897e-16	1.19571487433045	equal
dmr_22174_CG	0.86	0.8725	0.0014186416475703	1.01453488372093	equal
dmr_22175_CG	0.557333333333333	0.4245	0.26087972944015	1.31291715744013	equal
dmr_22176_CG	0.748666666666667	0.564	1.03520915709108e-48	1.3274231678487	equal
dmr_22177_CG	0.93	0.787	4.37498639423875e-103	1.18170266836086	equal
dmr_22178_CG	0.682666666666667	0.8175	0.00970777406959759	1.197509765625	equal
dmr_22179_CG	0.863333333333333	0.731	4.30913662281188e-06	1.18103055175559	equal
dmr_2217_CG	0.904333333333333	0.855	0.0127645836798944	1.05769980506823	equal
dmr_2217_CHG	0.548	0.4515	4.44235386472255e-05	1.21373200442968	equal
dmr_22180_CG	0.752	0.709	7.62291699330493e-15	1.06064880112835	equal
