pheno_name	pool	p	q	n	entropy	p_val
Family_Micromonosporaceae	2	1	1	16	0.5	0.0105847457627119
Family_Micropepsaceae	1	0	25	31	0	1
Family_Micropepsaceae	2	0	8	16	0	1
Family_Microscillaceae	1	0	29	31	0	1
Family_Microscillaceae	2	0	16	16	0	1
Family_Microtrichaceae	1	3	5	31	0.750614274403056	0.0105847457627119
Family_Microtrichaceae	2	3	3	16	0.905639062229566	0.476675892206846
Family_Moraxellaceae	1	5	0	31	0	1
Family_Moraxellaceae	2	6	0	16	0	1
Family_Mycobacteriaceae	1	0	23	31	0	1
Family_Mycobacteriaceae	2	0	4	16	0	1
Family_Myxococcaceae	1	0	22	31	0	1
Family_Myxococcaceae	2	3	1	16	0.702819531114783	0.0581413133832086
Family_NS11-12_marine_group	1	19	0	31	0	1
Family_NS11-12_marine_group	2	4	1	16	0.75	0.0656288998357964
Family_NS9_marine_group	1	0	4	31	0	1
Family_NS9_marine_group	2	1	1	16	0.5	0.0236777251184834
Family_Nannocystaceae	1	5	4	31	0.805746010291776	0.0154197530864198
Family_Nannocystaceae	2	2	0	16	0	1
Family_Neisseriaceae	1	1	3	31	0.485867669012388	0
Family_Neisseriaceae	2	0	8	16	0	1
Family_Nitrosomonadaceae	1	5	6	31	0.883120772112641	0.0393730297723292
Family_Nitrosomonadaceae	2	3	2	16	0.827819531114783	0.160919850187266
Family_Nitrososphaeraceae	1	0	16	31	0	1
Family_Nitrososphaeraceae	2	0	9	16	0	1
Family_Nocardiaceae	1	5	4	31	0.805746010291776	0.0154197530864198
Family_Nocardiaceae	2	1	0	16	0	1
Family_Nocardioidaceae	1	0	28	31	0	1
Family_Nocardioidaceae	2	0	6	16	0	1
Family_Nocardiopsaceae	1	0	25	31	0	1
Family_Nocardiopsaceae	2	0	11	16	0	1
Family_Obscuribacteraceae	1	3	3	31	0.65210976961272	0
Family_Obscuribacteraceae	2	0	2	16	0	1
Family_Oligoflexaceae	1	17	0	31	0	1
Family_Oligoflexaceae	2	7	0	16	0	1
Family_Opitutaceae	1	12	3	31	0.856080875644703	0.0154197530864198
Family_Opitutaceae	2	3	2	16	0.827819531114783	0.153665416354089
Family_Oscillospiraceae	1	3	0	31	0	1
Family_Oscillospiraceae	2	3	0	16	0	1
Family_Oxalobacteraceae	1	7	0	31	0	1
Family_Oxalobacteraceae	2	0	8	16	0	1
Family_Oxobacteraceae	1	0	4	31	0	1
Family_Oxobacteraceae	2	0	2	16	0	1
Family_PHOS-HE36	1	0	5	31	0	1
Family_PHOS-HE36	2	0	9	16	0	1
Family_Paenibacillaceae	1	0	17	31	0	1
Family_Paenibacillaceae	2	0	3	16	0	1
Family_Paludibacteraceae	1	5	0	31	0	1
Family_Paludibacteraceae	2	6	0	16	0	1
Family_Paracaedibacteraceae	1	0	19	31	0	1
Family_Paracaedibacteraceae	2	0	6	16	0	1
Family_Parachlamydiaceae	1	10	0	31	0	1
Family_Parachlamydiaceae	2	10	0	16	0	1
Family_Parvibaculaceae	1	26	0	31	0	1
Family_Parvibaculaceae	2	12	0	16	0	1
Family_Pedosphaeraceae	1	1	16	31	0.652301202470222	0.0055449500554939
Family_Pedosphaeraceae	2	1	3	16	0.702819531114783	0.0468109028960818
Family_Pelotomaculaceae	1	13	0	31	0	1
Family_Pelotomaculaceae	2	0	3	16	0	1
Family_Peptococcaceae	1	1	2	31	0.414922223585827	0
Family_Peptococcaceae	2	0	4	16	0	1
Family_Peptostreptococcaceae	1	2	3	31	0.581164324186158	0
Family_Peptostreptococcaceae	2	0	7	16	0	1
Family_Phaselicystidaceae	1	1	6	31	0.618374166721974	0
Family_Phaselicystidaceae	2	1	0	16	0	1
Family_Phycisphaeraceae	1	12	0	31	0	1
Family_Phycisphaeraceae	2	4	0	16	0	1
Family_Pirellulaceae	1	0	16	31	0	1
Family_Pirellulaceae	2	0	9	16	0	1
Family_Planococcaceae	1	0	29	31	0	1
Family_Planococcaceae	2	0	7	16	0	1
Family_Polyangiaceae	1	2	12	31	0.785135430218141	0
Family_Polyangiaceae	2	2	3	16	0.827819531114783	0.143281509433962
Family_Porticoccaceae	1	30	0	31	0	1
Family_Porticoccaceae	2	13	0	16	0	1
Family_Prolixibacteraceae	1	16	0	31	0	1
Family_Prolixibacteraceae	2	8	0	16	0	1
Family_Promicromonosporaceae	1	0	14	31	0	1
Family_Promicromonosporaceae	2	3	4	16	0.952819531114783	0.619994227994228
Family_Propionibacteriaceae	1	2	4	31	0.636296060074879	0
Family_Propionibacteriaceae	2	0	6	16	0	1
Family_Proteiniboraceae	1	3	0	31	0	1
Family_Proteiniboraceae	2	1	1	16	0.5	0.0196692913385827
Family_Pseudohongiellaceae	1	2	13	31	0.780878332902224	0.0055449500554939
Family_Pseudohongiellaceae	2	0	16	16	0	1
Family_Pseudomonadaceae	1	23	0	31	0	1
Family_Pseudomonadaceae	2	12	0	16	0	1
Family_Pseudonocardiaceae	1	1	7	31	0.64458342028038	0
Family_Pseudonocardiaceae	2	0	2	16	0	1
Family_Puniceicoccaceae	1	2	2	31	0.510218878759597	0
Family_Puniceicoccaceae	2	0	6	16	0	1
Family_Pyrinomonadaceae	1	1	0	31	0	1
Family_Pyrinomonadaceae	2	1	1	16	0.5	0.0236777251184834
Family_Reyranellaceae	1	2	11	31	0.785509813871584	0
Family_Reyranellaceae	2	0	4	16	0	1
Family_Rhizobiaceae	1	3	2	31	0.581164324186158	0
Family_Rhizobiaceae	2	6	0	16	0	1
Family_Rhizobiales_Incertae_Sedis	1	5	6	31	0.883120772112641	0.0429578675838349
Family_Rhizobiales_Incertae_Sedis	2	3	0	16	0	1
Family_Rhodanobacteraceae	1	0	11	31	0	1
Family_Rhodanobacteraceae	2	0	2	16	0	1
Family_Rhodobacteraceae	1	17	0	31	0	1
Family_Rhodobacteraceae	2	7	0	16	0	1
Family_Rhodocyclaceae	1	20	0	31	0	1
Family_Rhodocyclaceae	2	0	1	16	0	1
Family_Rhodomicrobiaceae	1	1	0	31	0	1
Family_Rhodomicrobiaceae	2	0	4	16	0	1
Family_Rhodospirillaceae	1	13	0	31	0	1
Family_Rhodospirillaceae	2	1	0	16	0	1
Family_Rhodothermaceae	1	0	27	31	0	1
Family_Rhodothermaceae	2	0	3	16	0	1
Family_Rickettsiaceae	1	8	1	31	0.664121509467157	0.0055449500554939
Family_Rickettsiaceae	2	3	0	16	0	1
Family_Roseiflexaceae	1	0	11	31	0	1
Family_Roseiflexaceae	2	1	0	16	0	1
Family_Rubinisphaeraceae	1	7	2	31	0.73988007545415	0.0055449500554939
Family_Rubinisphaeraceae	2	1	0	16	0	1
Family_Rubritaleaceae	1	24	0	31	0	1
Family_Rubritaleaceae	2	16	0	16	0	1
Family_Ruminococcaceae	1	0	2	31	0	1
Family_Ruminococcaceae	2	0	2	16	0	1
Family_SB-5	1	0	2	31	0	1
Family_SB-5	2	0	3	16	0	1
Family_SC-I-84	1	0	18	31	0	1
Family_SC-I-84	2	0	6	16	0	1
Family_SM2D12	1	7	0	31	0	1
Family_SM2D12	2	1	2	16	0.625	0.0236777251184834
Family_SR-FBR-L83	1	1	5	31	0.584372173802724	0
Family_SR-FBR-L83	2	0	5	16	0	1
Family_SRB2	1	1	1	31	0.319625568412056	0
Family_SRB2	2	0	4	16	0	1
Family_Salisediminibacteriaceae	1	0	10	31	0	1
Family_Salisediminibacteriaceae	2	5	0	16	0	1
Family_Sandaracinaceae	1	1	5	31	0.584372173802724	0
Family_Sandaracinaceae	2	2	2	16	0.75	0.0393730297723292
Family_Saprospiraceae	1	20	0	31	0	1
Family_Saprospiraceae	2	11	0	16	0	1
Family_Schlesneriaceae	1	23	0	31	0	1
Family_Schlesneriaceae	2	10	0	16	0	1
Family_Sedimentibacteraceae	1	1	1	31	0.319625568412056	0
Family_Sedimentibacteraceae	2	3	0	16	0	1
Family_Silvanigrellaceae	1	4	5	31	0.805746010291776	0.0055449500554939
Family_Silvanigrellaceae	2	0	3	16	0	1
Family_Sneathiellaceae	1	24	0	31	0	1
Family_Sneathiellaceae	2	9	1	16	0.716917186688699	0.0355271111111111
Family_Solibacteraceae	1	8	0	31	0	1
Family_Solibacteraceae	2	0	4	16	0	1
Family_Solimonadaceae	1	12	2	31	0.785135430218141	0
Family_Solimonadaceae	2	0	6	16	0	1
Family_Solirubrobacteraceae	1	0	20	31	0	1
Family_Solirubrobacteraceae	2	6	0	16	0	1
Family_Sphingobacteriaceae	1	17	0	31	0	1
Family_Sphingobacteriaceae	2	9	0	16	0	1
Family_Sphingomonadaceae	1	0	5	31	0	1
Family_Sphingomonadaceae	2	1	2	16	0.625	0.0278587360594796
Family_Spirochaetaceae	1	6	1	31	0.618374166721974	0
Family_Spirochaetaceae	2	1	2	16	0.625	0.0278587360594796
Family_Spirosomaceae	1	0	31	31	0	1
Family_Spirosomaceae	2	0	9	16	0	1
Family_Sporichthyaceae	1	1	7	31	0.64458342028038	0
Family_Sporichthyaceae	2	0	5	16	0	1
Family_Sporolactobacillaceae	1	0	15	31	0	1
Family_Sporolactobacillaceae	2	2	6	16	0.905639062229566	0.4111329904482
Family_Sporomusaceae	1	3	0	31	0	1
Family_Sporomusaceae	2	1	0	16	0	1
Family_Steroidobacteraceae	1	0	13	31	0	1
Family_Steroidobacteraceae	2	0	7	16	0	1
Family_Streptomycetaceae	1	2	2	31	0.510218878759597	0
Family_Streptomycetaceae	2	12	0	16	0	1
Family_Streptosporangiaceae	1	0	14	31	0	1
Family_Streptosporangiaceae	2	0	7	16	0	1
Family_Sumerlaeaceae	1	0	1	31	0	1
Family_Sumerlaeaceae	2	4	0	16	0	1
Family_Sutterellaceae	1	0	7	31	0	1
Family_Sutterellaceae	2	0	8	16	0	1
Family_Symbiobacteraceae	1	2	7	31	0.73988007545415	0
Family_Symbiobacteraceae	2	0	1	16	0	1
Family_Syntrophobacteraceae	1	0	12	31	0	1
Family_Syntrophobacteraceae	2	0	5	16	0	1
Family_Syntrophobotulaceae	1	0	2	31	0	1
Family_Syntrophobotulaceae	2	0	6	16	0	1
Family_Syntrophomonadaceae	1	2	3	31	0.581164324186158	0
Family_Syntrophomonadaceae	2	7	0	16	0	1
Family_TRA3-20	1	23	0	31	0	1
Family_TRA3-20	2	0	8	16	0	1
Family_Taonella	1	2	11	31	0.785509813871584	0.0055449500554939
Family_Taonella	2	0	5	16	0	1
Family_Tepidanaerobacter	1	0	7	31	0	1
Family_Tepidanaerobacter	2	0	6	16	0	1
Family_Terrimicrobiaceae	1	1	8	31	0.664121509467157	0
Family_Terrimicrobiaceae	2	0	1	16	0	1
Family_Thalassobaculaceae	1	2	2	31	0.510218878759597	0
Family_Thalassobaculaceae	2	0	6	16	0	1
Family_Thermaceae	1	4	0	31	0	1
Family_Thermaceae	2	0	1	16	0	1
Family_Thermacetogeniaceae	1	3	0	31	0	1
Family_Thermacetogeniaceae	2	0	6	16	0	1
Family_Thermaerobacteraceae	1	0	5	31	0	1
Family_Thermaerobacteraceae	2	0	2	16	0	1
Family_Thermincolaceae	1	2	5	31	0.679668828976494	0
Family_Thermincolaceae	2	0	7	16	0	1
Family_Thermoactinomycetaceae	1	0	25	31	0	1
Family_Thermoactinomycetaceae	2	0	14	16	0	1
Family_Thermoanaerobaculaceae	1	16	0	31	0	1
Family_Thermoanaerobaculaceae	2	11	0	16	0	1
Family_Thermomicrobiaceae	1	24	0	31	0	1
Family_Thermomicrobiaceae	2	1	0	16	0	1
Family_Thermomonosporaceae	1	0	15	31	0	1
Family_Thermomonosporaceae	2	1	1	16	0.5	0.0236777251184834
Family_Thioalkalispiraceae	1	0	2	31	0	1
Family_Thioalkalispiraceae	2	0	6	16	0	1
